Handle,Body
Apricot Delight Tea,"Apricot Tea is a deliciously fruity tea with the sweet juiciness of apricots. This tea offers a smooth, well-rounded flavour that is ideal for relaxing moments, whether enjoyed warm or as a refreshing iced tea. With each cup, you imbibe a blend of wellness and indulgence that has been revered for centuries.  Benefits attributed to;-Rich in potent antioxidants, can help fight free radicals and reduce oxidative stress, contributing to overall health and wellness."
Breakfast Tea," Breakfast tea  (contains caffeine)  is the Rolls Royce of traditional teas. It is made from a blend of Assam, Ceylon, and Kenyan teas. It has a full taste and richness and has a far superior taste to those you might make with a teabag (which is tainted by plastic, glue and bleach). Benefits Attributed to: – Improves Heart Health – Reduces Cholesterol Levels – Promotes Mental Health – Helps to Detox."
Cacao Tea,"Cacao tea (also known as chocolate tea) is a light and refreshing hot drink made from the husk of cacao beans. Cacao husks contain theobromine which some people find has a stimulant effect. Theobromine releases energy in a slower, more gentle way than caffeine, so you’re less likely to have peaks and crashes. Also packed with antioxidants, flavonoids and magnesium. Benefits attributed to: -Mood enhancement -Heart health support -Improve blood flow -Reduces inflammation -Supports digestion, and provide minerals for focus and immunity"
Calendula Tea,"Calendula is a fresh, light and very drinkable cup of tea. It has an earthy flavour at its base. The other prominent flavours include a hint of spiciness and a pepper flavour. The most impressive health benefit of calendula is its ability to improve the appearance of the skin and as a treatment for candida. Benefits attributed to: – Skin and eye care – Oral health – Reduces inflammation – Eliminates cramps"
Chamomile Tea,"Finalist in Blas na  hEireann  (Irish Food Awards) in 2021. Chamomile has gentle notes of apple, with a honey-like sweetness. It has a silky mouth feel with a clean, delicately floral taste, and even from the very first sip it feels wonderfully soothing. It has been praised over the years for its health benefits for digestion, skin complaints, relieving hay fever, easing anxiety and promoting peaceful sleep. Benefits attributed to: – Eases anxiety and promotes peaceful sleep – Diuretic, reduces  eight caused by bloating – Full of antioxidants – Great for the skin (anti-ageing) and the hair"
Dandelion Tea,"Dandelion has a similar taste to coffee, but it’s less acidic and bitter. It has an earthy and herbaceous flavour. Dandelions are one of the rare super foods, and are packed full of vitamins, minerals and fibre. A great tea for getting rid of retained  fluid (bloating), which is the hardest weight to lose. Benefits attributed to: – Reduces blood sugars  – Supports the liver function – Boosts the immune system – Reduces cholesterol -Reduces weight by getting rid of retained fluid"
Dittany Tea,"Dittany  has a strong, sharp and slightly bitter flavour, with a savoury nuance that reminds you of thyme. The scent is reminiscent of lemon and lavender. It is a powerful, restorative healing herb and is famed as a love potion in Greek mythology. Benefits attributed to:  – Aids weight loss by stimulating the digestive system – Soothes the stomach and intestines – Anti-cellulite and anti-ageing – Good for colds and flu"
Devil’s Claw Tea,"Devil’s Claw does not have an odour, but it does have a slightly bitter taste. It is used for “hardening of the arteries” (atherosclerosis), arthritis, gout, muscle pain (myalgia), back pain, fibromyalgia and tendonitis. Benefits attributed to: – Relief from arthritis – Relief from muscle pain – Relief from back pain – Relief from tendonitis  -Apply to the skin for injuries and other skin conditions"
Earl Grey Tea,
Echinacea Tea,"The taste of  Echinacea  tea is often described as tongue-tingling. In fact, some regard this quality as evidence of the herb’s effectiveness. Echinacea is commonly combined with mint or honey to make a more pleasant-tasting tea. It is most famous for boosting the immune system. Benefits attributed to: – Helps to fight colds and flu – Assists in controlling blood sugar – Helps manage anxiety – Lowers blood pressure"
