Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Category Id 1,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,apricot-delight-tea,Apricot Delight Tea,,"Apricot Tea is a deliciously fruity tea with the sweet juiciness of apricots. This tea offers a smooth, well-rounded flavour that is ideal for relaxing moments, whether enjoyed warm or as a refreshing iced tea. With each cup, you imbibe a blend of wellness and indulgence that has been revered for centuries. Benefits attributed to: Rich in potent antioxidants, can help fight free radicals and reduce oxidative stress, contributing to overall health and wellness.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-APRICOT-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,apricot-delight-tea,Apricot Delight Tea,,"Apricot Tea is a deliciously fruity tea with the sweet juiciness of apricots. This tea offers a smooth, well-rounded flavour that is ideal for relaxing moments, whether enjoyed warm or as a refreshing iced tea. With each cup, you imbibe a blend of wellness and indulgence that has been revered for centuries. Benefits attributed to: Rich in potent antioxidants, can help fight free radicals and reduce oxidative stress, contributing to overall health and wellness.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-APRICOT-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,apricot-delight-tea,Apricot Delight Tea,,"Apricot Tea is a deliciously fruity tea with the sweet juiciness of apricots. This tea offers a smooth, well-rounded flavour that is ideal for relaxing moments, whether enjoyed warm or as a refreshing iced tea. With each cup, you imbibe a blend of wellness and indulgence that has been revered for centuries. Benefits attributed to: Rich in potent antioxidants, can help fight free radicals and reduce oxidative stress, contributing to overall health and wellness.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-APRICOT-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,breakfast-tea,Breakfast Tea,,"Breakfast tea (contains caffeine) is the Rolls Royce of traditional teas. It is made from a blend of Assam, Ceylon, and Kenyan teas. It has a full taste and richness and has a far superior taste to those you might make with a teabag (which is tainted by plastic, glue and bleach). Benefits Attributed to: - Improves Heart Health - Reduces Cholesterol Levels - Promotes Mental Health - Helps to Detox.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-BREAKFAST-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,breakfast-tea,Breakfast Tea,,"Breakfast tea (contains caffeine) is the Rolls Royce of traditional teas. It is made from a blend of Assam, Ceylon, and Kenyan teas. It has a full taste and richness and has a far superior taste to those you might make with a teabag (which is tainted by plastic, glue and bleach). Benefits Attributed to: - Improves Heart Health - Reduces Cholesterol Levels - Promotes Mental Health - Helps to Detox.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-BREAKFAST-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,breakfast-tea,Breakfast Tea,,"Breakfast tea (contains caffeine) is the Rolls Royce of traditional teas. It is made from a blend of Assam, Ceylon, and Kenyan teas. It has a full taste and richness and has a far superior taste to those you might make with a teabag (which is tainted by plastic, glue and bleach). Benefits Attributed to: - Improves Heart Health - Reduces Cholesterol Levels - Promotes Mental Health - Helps to Detox.",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-BREAKFAST-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,cacao-tea,Cacao Tea,,"Cacao tea (also known as chocolate tea) is a light and refreshing hot drink made from the husk of cacao beans. Cacao husks contain theobromine which some people find has a stimulant effect. Theobromine releases energy in a slower, more gentle way than caffeine, so you're less likely to have peaks and crashes. Also packed with antioxidants, flavonoids and magnesium. Benefits attributed to: -Mood enhancement -Heart health support -Improve blood flow -Reduces inflammation -Supports digestion, and provide minerals for focus and immunity",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-CACAO-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
,cacao-tea,Cacao Tea,,"Cacao tea (also known as chocolate tea) is a light and refreshing hot drink made from the husk of cacao beans. Cacao husks contain theobromine which some people find has a stimulant effect. Theobromine releases energy in a slower, more gentle way than caffeine, so you're less likely to have peaks and crashes. Also packed with antioxidants, flavonoids and magnesium. Benefits attributed to: -Mood enhancement -Heart health support -Improve blood flow -Reduces inflammation -Supports digestion, and provide minerals for focus and immunity",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,100g,TEA-CACAO-100G,,TRUE,FALSE,,,,,,,,,15,12.9,Size,100g,,
,cacao-tea,Cacao Tea,,"Cacao tea (also known as chocolate tea) is a light and refreshing hot drink made from the husk of cacao beans. Cacao husks contain theobromine which some people find has a stimulant effect. Theobromine releases energy in a slower, more gentle way than caffeine, so you're less likely to have peaks and crashes. Also packed with antioxidants, flavonoids and magnesium. Benefits attributed to: -Mood enhancement -Heart health support -Improve blood flow -Reduces inflammation -Supports digestion, and provide minerals for focus and immunity",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,250g,TEA-CACAO-250G,,TRUE,FALSE,,,,,,,,,35,30,Size,250g,,
,calendula-tea,Calendula Tea,,"Calendula is a fresh, light and very drinkable cup of tea. It has an earthy flavour at its base. The other prominent flavours include a hint of spiciness and a pepper flavour. The most impressive health benefit of calendula is its ability to improve the appearance of the skin and as a treatment for candida. Benefits attributed to: - Skin and eye care - Oral health - Reduces inflammation - Eliminates cramps",published,,50,,,,,,,,default,TRUE,,pcat_01KEHWW17PHFG1R5WWMK8M99AZ,,,TRUE,,,50g,TEA-CALENDULA-50G,,TRUE,FALSE,,,,,,,,,8.75,7.5,Size,50g,,
